1,1
2,1
3,2
4,2
5,2
6,1
7,2
8,2
9,1
10,1
11,1
12,2
13,1
14,1
15,2
16,1
17,1
18,2
19,2
20,2
21,1
22,2
23,1
24,2
25,1
26,1
27,1
28,2
29,1
30,2
31,1
32,1
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,1
43,2
44,1
45,1
46,2
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,1
56,2
57,1
58,1
59,1
60,2
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,1
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,1
77,2
78,1
79,1
80,1
81,2
82,2
83,2
84,1
85,1
86,1
87,2
88,2
89,1
90,1
91,2
92,1
93,1
94,2
95,1
96,2
97,1
98,2
99,2
100,2
101,2
102,2
103,2
104,1
105,2
106,2
107,1
108,2
109,2
110,2
111,1
112,2
113,1
114,1
115,2
116,2
117,1
118,2
119,1
120,1
121,1
122,2
123,2
124,1
125,1
126,1
127,2
128,2
129,1
130,1
131,1
132,2
133,1
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,1
144,2
145,2
146,2
147,1
148,1
149,1
150,2
151,2
152,1
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,2
161,1
162,2
163,1
164,1
165,1
166,2
167,2
168,2
169,1
170,2
171,1
172,1
173,2
174,2
175,1
176,2
177,2
178,1
179,2
180,2
181,2
182,2
183,1
184,1
185,1
186,2
187,2
188,1
189,1
190,1
191,1
192,2
193,2
194,2
195,2
196,2
197,2
198,1
199,2
200,2
201,2
202,1
203,1
204,2
205,2
206,1
207,2
208,1
209,1
210,2
211,1
212,1
213,2
214,1
215,1
216,1
217,2
218,1
219,2
220,1
221,2
222,1
223,2
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,2
234,1
235,2
236,1
237,2
238,1
239,2
240,2
241,2
242,2
243,2
244,2
245,1
246,2
247,2
248,2
249,1
250,2
251,2
252,2
253,2
254,2
255,2
256,1
257,2
258,2
259,1
260,1
261,2
262,2
263,1
264,1
265,1
266,2
267,1
268,1
269,2
270,1
271,2
272,1
273,1
274,2
275,1
276,1
277,1
278,1
279,1
280,2
281,1
282,1
283,1
284,1
285,2
286,2
287,1
288,1
289,2
290,1
291,1
292,2
293,1
294,2
295,2
296,2
297,1
298,2
299,2
300,2
301,1
302,1
303,2
304,1
305,1
306,2
307,1
308,1
309,2
310,2
311,2
312,1
313,1
314,1
315,1
316,1
317,2
318,1
319,2
320,2
321,2
322,1
323,1
324,1
325,2
326,1
327,1
328,2
329,2
330,2
331,1
332,2
333,1
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,2
350,2
351,2
352,1
353,2
354,1
355,2
356,2
357,1
358,1
359,1
360,2
361,2
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,2
372,1
373,1
374,2
375,2
376,1
377,1
378,2
379,2
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,2
389,1
390,1
391,2
392,2
393,1
394,2
395,2
396,1
397,1
398,2
399,1
400,1
401,1
402,1
403,1
404,1
405,2
406,1
407,2
408,2
409,1
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,2
418,2
419,2
420,2
421,1
422,2
423,1
424,1
425,1
426,1
427,2
428,2
429,2
430,1
431,2
432,2
433,1
434,2
435,2
436,2
437,1
438,1
439,1
440,1
441,1
442,2
443,2
444,1
445,1
446,1
447,2
448,1
449,2
450,2
451,2
452,1
453,2
454,1
455,1
456,1
457,2
458,2
459,1
460,2
461,2
462,2
463,1
464,1
465,2
466,1
467,2
468,1
469,2
470,2
471,1
472,2
473,2
474,2
475,2
476,1
477,2
478,2
479,2
480,1
481,2
482,2
483,2
484,1
485,1
486,1
487,1
488,1
489,1
490,2
491,1
492,1
493,1
494,1
495,1
496,1
497,2
498,1
499,2
500,2
501,1
502,1
503,2
504,2
505,2
506,1
507,1
508,1
509,1
510,1
511,1
512,2
513,2
514,1
515,2
516,1
517,2
518,1
519,2
520,1
521,1
522,2
523,2
524,2
525,1
526,2
527,2
528,1
529,1
530,1
531,1
532,2
533,2
534,2
535,1
536,2
537,2
538,1
539,2
540,1
541,2
542,2
543,2
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,2
552,1
553,2
554,1
555,2
556,1
557,1
558,1
559,2
560,1
561,2
562,2
563,1
564,2
565,1
566,2
567,1
568,2
569,1
570,1
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,1
579,2
580,2
581,1
582,2
583,1
584,1
585,2
586,2
587,1
588,2
589,2
590,2
591,1
592,2
593,1
594,2
595,2
596,2
597,1
598,2
599,1
600,1
601,1
602,2
603,1
